Barcode,Tumor core true
cellid_000000001-1,
cellid_000000002-1,
cellid_000000003-1,
cellid_000000004-1,
cellid_000000005-1,
cellid_000000006-1,
cellid_000000007-1,
cellid_000000008-1,
cellid_000000009-1,
cellid_000000010-1,
cellid_000000011-1,
cellid_000000012-1,
cellid_000000013-1,
cellid_000000014-1,
cellid_000000015-1,
cellid_000000016-1,
cellid_000000017-1,
cellid_000000018-1,
cellid_000000019-1,
cellid_000000020-1,
cellid_000000021-1,
cellid_000000022-1,
cellid_000000023-1,
cellid_000000024-1,
cellid_000000025-1,
cellid_000000026-1,
cellid_000000027-1,
cellid_000000028-1,
cellid_000000029-1,
cellid_000000030-1,
cellid_000000031-1,
cellid_000000032-1,
cellid_000000033-1,
cellid_000000034-1,
cellid_000000035-1,
cellid_000000036-1,
cellid_000000037-1,
cellid_000000038-1,
cellid_000000039-1,
cellid_000000040-1,
cellid_000000041-1,
cellid_000000042-1,
cellid_000000043-1,
cellid_000000044-1,
cellid_000000045-1,
cellid_000000046-1,
cellid_000000047-1,
cellid_000000048-1,
cellid_000000049-1,
cellid_000000050-1,
cellid_000000051-1,
cellid_000000052-1,
cellid_000000053-1,
cellid_000000054-1,
cellid_000000055-1,
cellid_000000056-1,
cellid_000000057-1,
cellid_000000058-1,
cellid_000000059-1,
cellid_000000060-1,
cellid_000000061-1,
cellid_000000062-1,
cellid_000000063-1,
cellid_000000064-1,
cellid_000000065-1,
cellid_000000066-1,
cellid_000000067-1,
cellid_000000068-1,
cellid_000000069-1,
cellid_000000070-1,
cellid_000000071-1,
cellid_000000072-1,
cellid_000000073-1,
cellid_000000074-1,
cellid_000000075-1,
cellid_000000076-1,
cellid_000000077-1,
cellid_000000078-1,
cellid_000000079-1,
cellid_000000080-1,
cellid_000000081-1,
cellid_000000082-1,
cellid_000000083-1,
cellid_000000084-1,
cellid_000000085-1,
cellid_000000086-1,
cellid_000000087-1,
cellid_000000088-1,
cellid_000000089-1,
cellid_000000090-1,
cellid_000000091-1,
cellid_000000092-1,
cellid_000000093-1,
cellid_000000094-1,
cellid_000000095-1,
cellid_000000096-1,
cellid_000000097-1,
cellid_000000098-1,
cellid_000000099-1,
cellid_000000100-1,
cellid_000000101-1,
cellid_000000102-1,
cellid_000000103-1,
cellid_000000104-1,
cellid_000000105-1,
cellid_000000106-1,
cellid_000000107-1,
cellid_000000108-1,
cellid_000000109-1,
cellid_000000110-1,
cellid_000000111-1,
cellid_000000112-1,
cellid_000000113-1,
cellid_000000114-1,
cellid_000000115-1,
cellid_000000116-1,
cellid_000000117-1,
cellid_000000118-1,
cellid_000000119-1,
cellid_000000120-1,
cellid_000000121-1,
cellid_000000122-1,
cellid_000000123-1,
cellid_000000124-1,
cellid_000000125-1,
cellid_000000126-1,
cellid_000000127-1,
cellid_000000128-1,
cellid_000000129-1,
cellid_000000130-1,
cellid_000000131-1,
cellid_000000132-1,
cellid_000000133-1,
cellid_000000134-1,
cellid_000000135-1,
cellid_000000136-1,
cellid_000000137-1,
cellid_000000138-1,
cellid_000000139-1,
cellid_000000140-1,
cellid_000000141-1,
cellid_000000142-1,
cellid_000000143-1,
cellid_000000144-1,
cellid_000000145-1,
cellid_000000146-1,
cellid_000000147-1,
cellid_000000148-1,
cellid_000000149-1,
cellid_000000150-1,
cellid_000000151-1,
cellid_000000152-1,
cellid_000000153-1,
cellid_000000154-1,
cellid_000000155-1,
cellid_000000156-1,
cellid_000000157-1,
cellid_000000158-1,
cellid_000000159-1,
cellid_000000160-1,
cellid_000000161-1,
cellid_000000162-1,
cellid_000000163-1,
cellid_000000164-1,
cellid_000000165-1,
cellid_000000166-1,
cellid_000000167-1,
cellid_000000168-1,
cellid_000000169-1,
cellid_000000170-1,
