B.cell,Dendritic.cell,Endothelial.cell,Fibroblast,Myeloid.cell,Ovarian.cancer.cell,Plasma.cell,T.cell,Mast.cell,M2.Marco
PTPRC,PTPRC,CLEC14A,COL1A1,PTPRC,WFDC2,PTPRC,PTPRC,PTPRC,MT1G
MS4A1,IL3RA,PECAM1,COL3A1,CD14,CD24,IGKC,CD2,KIT,MARCO
CD79A,IRF7,VWF,WT1,FCER1G,CLDN3,IGHG1,CD3D,CPA3,MT1X
CD19,IRF8,CAV1,ACTA2,FCGR3A,KRT7,CD79A,TRAC,CTSG,MT1H
BANK1,GZMB,EMCN,CAV1,LYZ,KRT8,IGHG2,GZMA,MS4A2,PLIN2
IGKC,CD4,CDH5,COL1A2,CTSS,KRT17,IGLC2,NKG7,TPSAB1,CXCL3
IGHM,CLEC4C,MCAM,DCN,CD33,KRT18,IGLC3,CD3E,TPSB2,CCL20
,PTGDS,IL3RA,SPARC,CD68,KRT19,IGHG3,CD3G,HPGD,FN1
,JCHAIN,IGFBP7,COL6A1,CD163,EPCAM,IGHG4,CD4,HPGDS,TIMP1
,PLAC8,COL4A1,CCDC80,ITGAX,WT1,JCHAIN,TCF7,GATA2,MT2A
,PLD4,COL4A2,LUM,ITGAM,CLDN4,MZB1,CD8A,,CXCL8
,TCF4,COL15A1,COL6A2,CD4,MSLN,XBP1,PRF1,,MT1E
,BCL11A,SPARCL1,COL6A3,MRC1,FOLR1,,GZMB,,CXCL2
,GPR183,A2M,CALD1,VSIG4,MUC1,,CCL5,,NUPR1
,CCDC50,HSPG2,RARRES2,SPP1,,,CCL4,,HAMP
,LILRA4,PLVAP,MGP,APOE,,,IL32,,EREG
,TSPAN13,AQP1,CTHRC1,C1QA,,,CD52,,CTSL
,CLIC3,ENG,AEBP1,C1QB,,,,,LYVE1
,MPEG1,RAMP2,POSTN,C1QC,,,,,CFD
,,GNG11,COL5A2,APOC1,,,,,CYP27A1
,,EGFL7,FBLN1,FTL,,,,,ERO1A
